"height_range_id","range_diameter","mean_diameter","median_diameter","sd_diameter"
0,55,5.40700934579439,3,8.11049991396168
1,86,3.91736429840587,3,2.27937240390445
2,435,8.37634317395631,7,5.98727277483744
3,141,14.641436119664,13,7.60120839384992
4,316,16.5627072576717,15.5,7.03413114887429
5,98,22.8249201242512,22.5,7.16366974669465
6,99,27.2686429258903,27,7.11147346602895
7,72.5,30.7752494382022,30,7.45800858375241
8,96,33.25081769437,33,8.27335008399606
9,65,34.7894088669951,35,9.69106067851061
10,47,34.1458333333333,39,15.2749268460283
